video_id,stat_date,likes,comments,shares,views,estimated_minutes_watched
vid003,2026-06-10,312,27,16,8752,22265.1
vid003,2026-06-11,323,28,17,9070,23074.1
vid003,2026-06-12,335,29,18,9392,23893.2
vid003,2026-06-13,347,30,18,9720,24727.7
vid003,2026-06-14,359,31,19,10052,25572.3
vid003,2026-06-15,371,32,19,10390,26432.2
vid003,2026-06-16,383,33,20,10733,27304.8
vid003,2026-06-17,395,34,21,11081,28190.1
vid003,2026-06-18,408,35,21,11433,29085.6
vid003,2026-06-19,421,36,22,11791,29996.3
vid003,2026-06-20,434,37,23,12154,30919.8
vid003,2026-06-21,447,39,24,12522,31856
vid003,2026-06-22,460,40,24,12895,32804.9
vid003,2026-06-23,474,41,25,13273,33766.5
vid003,2026-06-24,487,42,26,13656,34740.9
vid003,2026-06-25,496,43,26,13902,35366.7
vid003,2026-06-26,505,44,27,14147,35990
vid003,2026-06-27,514,44,27,14392,36613.2
vid003,2026-06-28,522,45,28,14637,37236.5
vid003,2026-06-29,531,46,28,14883,37862.4
vid003,2026-06-30,540,47,29,15128,38485.6
vid003,2026-07-01,549,48,29,15373,39108.9
vid003,2026-07-02,557,48,30,15618,39732.2
vid004,2026-06-12,312,27,16,8754,29413.4
vid004,2026-06-13,324,28,17,9072,30481.9
vid004,2026-06-14,335,29,18,9394,31563.8
vid004,2026-06-15,347,30,18,9722,32665.9
vid004,2026-06-16,359,31,19,10055,33784.8
vid004,2026-06-17,371,32,19,10392,34917.1
vid004,2026-06-18,383,33,20,10735,36069.6
vid004,2026-06-19,395,34,21,11083,37238.9
vid004,2026-06-20,408,35,21,11436,38425
vid004,2026-06-21,421,36,22,11794,39627.8
vid004,2026-06-22,434,37,23,12156,40844.2
vid004,2026-06-23,447,39,24,12524,42080.6
vid004,2026-06-24,460,40,24,12897,43333.9
vid004,2026-06-25,474,41,25,13276,44607.4
vid004,2026-06-26,487,42,26,13659,45894.2
vid004,2026-06-27,496,43,26,13904,46717.4
vid004,2026-06-28,505,44,27,14149,47540.6
vid004,2026-06-29,514,44,27,14394,48363.8
vid004,2026-06-30,522,45,28,14640,49190.4
vid004,2026-07-01,531,46,28,14885,50013.6
vid004,2026-07-02,540,47,29,15130,50836.8
vid005,2026-06-15,551,9,63,26492,13793.5
vid005,2026-06-16,568,9,64,27296,14212.1
vid005,2026-06-17,585,10,66,28111,14636.5
vid005,2026-06-18,602,10,68,28938,15067.1
vid005,2026-06-19,620,10,70,29776,15503.4
vid005,2026-06-20,638,10,72,30626,15945.9
vid005,2026-06-21,655,11,74,31487,16394.2
vid005,2026-06-22,674,11,77,32360,16848.8
vid005,2026-06-23,692,11,79,33244,17309
vid005,2026-06-24,711,12,81,34140,17775.6
vid005,2026-06-25,730,12,83,35047,18247.8
vid005,2026-06-26,749,12,85,35966,18726.3
vid005,2026-06-27,768,13,87,36896,19210.5
vid005,2026-06-28,788,13,90,37838,19701
vid005,2026-06-29,808,13,92,38792,20197.7
vid005,2026-06-30,819,14,93,39352,20489.3
vid005,2026-07-01,831,14,95,39913,20781.4
vid005,2026-07-02,843,14,96,40474,21073.5
vid006,2026-06-18,312,27,16,8758,24592.5
vid006,2026-06-19,324,28,17,9076,25485.4
vid006,2026-06-20,335,29,18,9398,26389.6
vid006,2026-06-21,347,30,18,9726,27310.6
vid006,2026-06-22,359,31,19,10059,28245.7
vid006,2026-06-23,371,32,19,10396,29192
vid006,2026-06-24,383,33,20,10739,30155.1
vid006,2026-06-25,395,34,21,11087,31132.3
vid006,2026-06-26,408,35,22,11440,32123.5
vid006,2026-06-27,421,36,22,11798,33128.8
vid006,2026-06-28,434,38,23,12161,34148.1
vid006,2026-06-29,447,39,24,12529,35181.4
vid006,2026-06-30,460,40,24,12902,36228.8
vid006,2026-07-01,474,41,25,13280,37290.2
vid006,2026-07-02,487,42,26,13663,38365.7
vid007,2026-06-22,312,27,16,8760,12614.4
vid007,2026-06-23,324,28,17,9078,13072.3
vid007,2026-06-24,335,29,18,9400,13536
vid007,2026-06-25,347,30,18,9728,14008.3
vid007,2026-06-26,359,31,19,10061,14487.8
vid007,2026-06-27,371,32,19,10399,14974.6
vid007,2026-06-28,383,33,20,10741,15467
vid007,2026-06-29,396,34,21,11089,15968.2
vid007,2026-06-30,408,35,22,11442,16476.5
vid007,2026-07-01,421,36,22,11800,16992
vid007,2026-07-02,434,38,23,12163,17514.7
vid008,2026-06-25,312,27,16,8762,22448.2
vid008,2026-06-26,324,28,17,9080,23263
vid008,2026-06-27,335,29,18,9402,24087.9
vid008,2026-06-28,347,30,18,9730,24928.3
vid008,2026-06-29,359,31,19,10063,25781.4
vid008,2026-06-30,371,32,20,10401,26647.4
vid008,2026-07-01,383,33,20,10744,27526.1
vid008,2026-07-02,396,34,21,11091,28415.1
vid009,2026-06-28,313,27,16,8764,16800.6
vid009,2026-06-29,324,28,17,9082,17410.2
vid009,2026-06-30,335,29,18,9404,18027.5
vid009,2026-07-01,347,30,18,9732,18656.2
vid009,2026-07-02,359,31,19,10065,19294.6
vid010,2026-07-01,312,27,16,8748,27241.3
vid010,2026-07-02,323,28,17,9065,28228.4
